companyId;companyName;ticker;price;p_L;p_VP;p_Ebit;p_Ativo;eV_Ebit;margemBruta;margemEbit;margemLiquida;p_SR;p_CapitalGiro;p_AtivoCirculante;giroAtivos;roe;roa;roic;dividaliquidaPatrimonioLiquido;dividaLiquidaEbit;pl_Ativo;passivo_Ativo;liquidezCorrente;peg_Ratio;vpa;lpa;valorMercado;dy;liquidezMediaDiaria;receitas_Cagr5;lucros_Cagr5
234;GAFISA;GFSA3;7,57;-9,4032;0,1647;2,6436;0,0489;17,7298;16,71;10,51;-2,95;0,2778;0,1484;-0,1537;0,18;-1,75;-0,52;-0,03;0,94;15,11;0,3;0,7;1,93;0,06277182;45,9693;-0,805;263291423,1;;15028368,35;-2,22;
404;DOMMO ENERGIA;DMMO3;1,9;-279,2271;-2,0334;37,7459;2,9795;34,8948;54,54;8,16;-1,1;3,0815;9,9707;-7,1922;0,97;-0,73;-1,07;-5,39;;-2,85;-1,47;2,47;2,04;2,71817914;-0,9344;-0,0068;1024763630,1;;15758493,15;-1,34;
226;RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS;LLIS3;1,91;-1,8656;-2,5713;-2,7178;1,0604;-5,7602;58,11;-55,44;-80,76;1,5067;-11,952;-1,5314;0,7;-137,83;-56,84;-52,92;;-3,04;-0,41;1,41;0,78;0,03515181;-0,7428;-1,0238;1620810462,15;;384967,15;-4,9;
407;VIBRA ENERGIA S.A.;VBBR3;15,34;8,9359;1,4115;5,1121;0,4513;8,8593;4,61;1,99;1,14;0,1015;1,6054;-0,9348;4,44;15,8;5,05;9,79;1,03;3,73;0,32;0,68;2,19;-0,1573326;10,8464;1,7133;17847800000,0;5,5923;183277856,53;8,47;
771;INFRACOMMERCE CXAAS S.A.;IFCM3;3,58;-6,0383;0,8681;-19,1093;0,3949;-23,7154;43,23;-8,66;-27,41;1,6553;8,611;-0,6046;0,24;-14,38;-6,54;-3,41;0,21;-4,71;0,45;0,55;1,15;-0,00285113;4,1468;-0,5962;1315907042,4;;3365501,1;;
166;TECNOSOLO;TCNO3;1,2;-7,5231;-8,3979;-6,8075;0,0335;-34,5099;;;;;-0,0788;-0,0403;0,0;-111,63;-0,45;-3,55;;-28,98;0,0;1,0;0,28;-0,28424425;-0,1429;-0,1595;6451072,5;;4272,71;;
166;TECNOSOLO;TCNO4;0,85;-5,3289;-5,9485;-4,822;0,0238;-34,5099;;;;;-0,0558;-0,0286;0,0;-111,63;-0,45;-3,55;;-28,98;0,0;1,0;0,28;-0,20133968;-0,1429;-0,1595;6451072,5;;12175,76;;
230;CYRELA;CYRE3;13,23;6,4546;0,815;5,556;0,3584;7,2555;32,54;17,75;15,28;0,9863;0,9975;-0,7931;0,36;12,63;5,55;7,54;0,25;1,73;0,44;0,52;2,9;-0,4438955;16,2214;2,0481;5312581798,71;4,2722;133237753,6;8,44;40,16
217;WHIRLPOOL;WHRL3;4,83;13,407;2,9706;8,482;0,8967;7,9836;16,5;7,83;4,95;0,6638;14,0497;-2,9478;1,35;22,16;6,69;20,32;-0,19;-0,55;0,3;0,7;1,1;-0,27304291;1,6259;0,3603;7305864920,38;3,8737;15640,92;14,11;11,67
217;WHIRLPOOL;WHRL4;5,02;13,9344;3,0875;8,8156;0,932;7,9836;16,5;7,83;4,95;0,6899;14,6024;-3,0637;1,35;22,16;6,69;20,32;-0,19;-0,55;0,3;0,7;1,1;-0,28378373;1,6259;0,3603;7305864920,38;4,0996;36212,5;14,11;11,67
178;METISA;MTSA3;68,72;7,3424;1,6218;5,2806;1,0602;3,9069;29,55;14,76;10,62;0,7795;2,2062;-5,6038;1,36;22,09;14,44;17,77;-0,13;-0,42;0,65;0,35;2,46;0,12860492;42,3739;9,3593;494864025,6;3,4924;13846,0;21,69;43,68
178;METISA;MTSA4;44,87;4,7942;1,0589;3,4479;0,6923;3,9069;29,55;14,76;10,62;0,509;1,4405;-3,659;1,36;22,09;14,44;17,77;-0,13;-0,42;0,65;0,35;2,46;0,08397123;42,3739;9,3593;494864025,6;5,8837;166673,58;21,69;43,68
342;BANCO PINE;PINE4;1,61;9,8358;0,3481;4,6518;0,0203;2,2093;6,8;4,55;2,15;0,2119;-0,0492;-0,0204;0,1;3,54;0,21;;;;0,06;0,94;0,01;-0,04777619;4,6249;0,1637;142558628,52;;219172,1;9,53;
342;BANCO PINE;PINE3;0,0;0,0;0,0;0,0;0,0;2,2093;6,8;4,55;2,15;0,0;0,0;0,0;0,1;3,54;0,21;;;;0,06;0,94;0,01;0,0;4,6249;0,1637;142558628,52;;;9,53;
356;WIZ;WIZS3;6,85;7,0164;2,5213;3,0436;0,5499;3,1256;58,2;41,06;17,81;1,2498;-11,4427;-0,6702;0,44;35,93;7,84;22,59;0,07;0,08;0,22;0,51;0,79;-0,48647795;2,7168;0,9763;1092166736,06;8,5832;13512466,8;15,13;1,48
